,0
0,0.1945
1,0.2044
2,0.2324
3,0.2597
4,0.282
5,0.3002
6,0.313
7,0.3253
8,0.34
9,0.3499
10,0.3609
11,0.3635
12,0.3737
13,0.3789
14,0.3822
15,0.3911
16,0.3948
17,0.402
18,0.4075
19,0.4116
20,0.4158
21,0.4225
22,0.4226
23,0.4237
24,0.4288
25,0.4297
26,0.4324
27,0.4345
28,0.4403
29,0.4423
30,0.445
31,0.4484
32,0.4503
33,0.4498
34,0.4508
35,0.4524
36,0.4563
37,0.4558
38,0.4589
39,0.4581
40,0.4605
41,0.4592
42,0.4624
43,0.4627
44,0.463
45,0.4627
46,0.4656
47,0.4672
48,0.4683
49,0.4702
50,0.4637
51,0.4683
52,0.4674
53,0.4694
54,0.4713
55,0.4691
56,0.4732
57,0.4732
58,0.4745
59,0.4755
60,0.4747
61,0.4729
62,0.4755
63,0.476
64,0.4741
65,0.4779
66,0.4766
67,0.4769
68,0.4732
69,0.4786
70,0.4743
71,0.4784
72,0.4774
73,0.4792
74,0.4759
75,0.4803
76,0.4783
77,0.4791
78,0.4782
79,0.4809
80,0.4795
81,0.4782
82,0.4787
83,0.4814
84,0.4791
85,0.48
86,0.4782
87,0.4784
88,0.4764
89,0.4773
90,0.475
91,0.4807
92,0.477
93,0.4749
94,0.4802
95,0.4803
96,0.4793
97,0.4795
98,0.4788
99,0.4761
